,#,Company,Symbol,Portfolio%,Price,Chg,% Chg
0,1,Microsoft Corp,MSFT,7.16%,430.16,3.16,(0.74%)
1,2,Apple Inc.,AAPL,6.12%,189.98,3.1,(1.66%)
2,3,Nvidia Corp,NVDA,5.79%,1064.69,26.7,(2.57%)
3,4,Amazon.com Inc,AMZN,3.74%,180.75,-0.3,(-0.17%)
4,5,"Meta Platforms, Inc. Class A",META,2.31%,478.22,12.44,(2.67%)
5,6,Alphabet Inc. Class A,GOOGL,2.31%,174.99,1.44,(0.83%)
6,7,Alphabet Inc. Class C,GOOG,1.95%,176.33,1.27,(0.73%)
7,8,Berkshire Hathaway Class B,BRK.B,1.67%,407.41,1.53,(0.38%)
8,9,Eli Lilly & Co.,LLY,1.45%,807.43,-1.02,(-0.13%)
9,10,Broadcom Inc.,AVGO,1.38%,1407.84,14.55,(1.04%)
10,11,Jpmorgan Chase & Co.,JPM,1.28%,200.71,3.79,(1.92%)
11,12,Exxon Mobil Corporation,XOM,1.16%,113.42,-0.09,(-0.08%)
12,13,"Tesla, Inc.",TSLA,1.09%,179.24,5.5,(3.17%)
13,14,Unitedhealth Group Incorporated,UNH,1.08%,508.17,-8.66,(-1.68%)
14,15,Visa Inc.,V,0.98%,274.49,0.26,(0.09%)
15,16,Procter & Gamble Company,PG,0.88%,165.33,-0.16,(-0.10%)
16,17,Mastercard Incorporated,MA,0.84%,451.18,-0.03,(-0.01%)
17,18,Johnson & Johnson,JNJ,0.81%,146.97,-2.73,(-1.82%)
18,19,Costco Wholesale Corp,COST,0.80%,809.73,13.39,(1.68%)
19,20,"Merck & Co., Inc.",MRK,0.75%,129.49,-1.6,(-1.22%)
20,21,"Home Depot, Inc.",HD,0.73%,325.1,-1.79,(-0.55%)
21,22,Abbvie Inc.,ABBV,0.63%,157.06,-1.2,(-0.76%)
22,23,Walmart Inc.,WMT,0.63%,65.38,0.54,(0.83%)
23,24,Netflix Inc,NFLX,0.62%,646.75,11.08,(1.74%)
24,25,Chevron Corporation,CVX,0.61%,157.75,0.81,(0.52%)
25,26,"Salesforce, Inc.",CRM,0.61%,272.29,-6.28,(-2.25%)
26,27,Bank of America Corporation,BAC,0.61%,39.7,0.53,(1.35%)
27,28,Advanced Micro Devices,AMD,0.58%,166.36,5.93,(3.70%)
28,29,"Pepsico, Inc.",PEP,0.56%,177.99,-1.28,(-0.71%)
29,30,Coca-Cola Company,KO,0.55%,62.0,-0.09,(-0.14%)
30,31,"Thermo Fisher Scientific, Inc.",TMO,0.51%,584.05,-0.98,(-0.17%)
31,32,Qualcomm Inc,QCOM,0.51%,210.36,8.6,(4.26%)
32,33,Adobe Inc.,ADBE,0.49%,475.43,-7.88,(-1.63%)
33,34,Wells Fargo & Co.,WFC,0.48%,60.21,0.53,(0.89%)
34,35,Linde Plc,LIN,0.47%,435.57,3.27,(0.76%)
35,36,Oracle Corp,ORCL,0.45%,122.91,-1.18,(-0.95%)
36,37,Accenture Plc,ACN,0.43%,300.99,-4.94,(-1.61%)
37,38,"Cisco Systems, Inc.",CSCO,0.43%,46.42,-0.18,(-0.39%)
